boleta,codigo_manzano,numero_hogar,municipio,distrito,barrio,otb,forma_de_residencia,tipo_de_vivienda,tenencia_de_la_vivienda,numero_miembros_en_el_hogar,persona_jefe,relacion_de_parentesco_13,jentrevistado,jefe_sexo,jefe_edad_anios,jefe_estado_civil,jefe_nivel_de_instruccion,jefe_ultimo_curso_aprobado,jefe_idioma_o_lengua_materna,jefe_departamento_de_nacimiento,jefe_provincia_de_nacimiento,jefe_municipio_de_nacimiento,jefe_localidad_de_nacimiento,jefe_pais_de_nacimiento,jefe_ciudad_de_nacimiento,jefe_departamento_de_residencia_2010,jefe_provincia_de_residencia_2010,jefe_municipio_de_residencia_2010,jefe_localidad_de_residencia_2010,jefe_pais_de_residencia_2010,jefe_ciudad_de_residencia,jefe_tiempo_de_residencia_anios,jefe_condicion_de_actividad,jefe_ocupacion_principal,jefe_categoria_ocupacional,jefe_rama_de_actividad,jefe_ocupacion_secundaria,persona,relacion_de_parentesco_40,entrevistado,sexo,edad_anios,estado_civil,p08nivel,p08curso,idioma_o_lengua_materna,departamento_de_nacimiento,provincia_de_nacimiento,municipio_de_nacimiento,localidad_de_nacimiento,pais_de_nacimiento,ciudad_de_nacimiento,departamento_de_residencia_2010,provincia_de_residencia_2010,municipio_de_residencia_2010,localidad_de_residencia_2010,pais_de_residencia_2010,ciudad_de_residencia_2010,tiempo_de_residencia_anios,condicion_de_actividad,ocupacion_principal,categoria_ocupacional,rama_de_actividad,ocupacion_secundaria,numero_de_miembros_que_trabajan,religion_de_entrevistado,identificacion_con_pueblo_originario,practica_de_q_hoa_y_challa,participacion_en_actividades_de_otb,participacion_en_organizaciones_gremiales,participacion_en_organizaciones_politicas,participacion_en_org_recreativas_y_deportivas,participacion_en_organizaciones_religiosas,participacion_en_org_culturales_o_folkloricas,percepcion_de_seguridad_del_municipio,lugar_mas_peligroso_o_inseguro,municipio_donde_se_localiza_el_lugar_inseguro,inseguridad_de_parques_plazas_plazuelas_calles_puentes,cual_parque_plaza_o_calle,inseguridad_de_mercados,cual_mercado,inseguridad_de_espacios_deportivos,cual_espacio_deportivo,inseguridad_de_lotes_baldios,dejar_de_frecuentar_por_inseguridad,tipos_de_hechos_mas_frecuentes,lugar_que_le_genera_miedo_cine,cual_cine,lugar_que_le_genera_miedo_universidades,cual_universidad,lugar_que_le_genera_miedo_disc,cual_discoteca_local,lugar_que_le_genera_miedo_tilines_cafe_internet,cual_tilin_o_cafe_internet,percepcion_sobre_seguridad_del_transporte_publico,transporte_publico_inseguro,percepcion_sobre_seguridad_del_barrio,hecho_de_inseguridad_en_el_barrio_en_los_ultimos_12_meses,tipo_de_hecho_ocurrido_100,tipo_de_hecho_ocurrido_101,existencia_el_el_barrio_de_personas_que_cometen_delito,existencia_el_el_barrio_de_inhaladores_de_clefa,existencia_el_el_barrio_de_actividades_pandilleras,nombre_de_las_pandillas,venta_de_drogas_en_el_barrio,hecho_de_violencia_en_los_ultimos_doce_meses,numero_de_veces,tipo_de_hecho,medios_utilizados_en_el_hecho_de_violencia_110,numero_de_personas_que_operaron_el_hecho,lugar_en_que_ocurrio_el_hecho_112,municipio_en_que_ocurrio_el_hecho_113,horario_en_que_ocurrio_el_hecho,acciones_realizadas_ante_el_hecho_115,institucion_a_la_que_acudion,otro_miembro_del_hogar_que_sufrio_hecho_de_violencia,parentesco_con_el_entrevistado,tipo_de_hecho_de_violencia,medios_utilizados_en_el_hecho_de_violencia_120,lugar_en_que_ocurrio_el_hecho_121,municipio_en_que_ocurrio_el_hecho_122,acciones_realizadas_ante_el_hecho_123,grupos_de_edad_de_mayor_propension_a_ser_victimas,caracteristicas_de_las_personas_que_generan_miedo,factores_que_inducen_a_cometer_delitos,institucion_responsable_de_la_seguridad_ciudadana,nivel_de_confianza_en_la_policia,nivel_de_confianza_en_el_gam,nivel_de_confianza_en_la_gobernacion,nivel_de_confianza_en_las_empresas_de_seguridad_privada,nivel_de_confianza_en_la_seguridad_vecinal_ot_bs,conocimiento_de_la_ley_integral_348,conocimiento_de_la_ley_264,conocimiento_de_la_ley_1008,conocimiento_de_la_ley_263,conocimiento_del_codigo_del_nino,conocimiento_de_la_ley_259,se_informa_por_medios_televisivos,medio_televisivo_por_el_que_se_informa,se_informa_por_medios_radiales,medio_radial_por_el_que_se_informa,se_informa_por_medios_escritos,medio_escrito_por_el_que_se_informa,se_informa_por_redes_sociales_o_internet,red_sociall_por_la_que_se_informa,principal_medio_por_el_que_se_entera_de_campanas_de_prevension,estrategias_utilizadas_para_prevenir_la_inseguridad_148,estrategias_utilizadas_para_prevenir_la_inseguridad_149,proteccion_de_la_vivienda_1,proteccion_de_la_vivienda_cerco_electrico,proteccion_de_la_vivienda_camaras_alarmas_portero_electronico,proteccion_de_la_vivienda_seguridad_privada,proteccion_de_la_vivienda_tener_perros,proteccion_de_la_vivienda_seguro_contra_robo,estrategias_para_porteger_la_vivienda,caracteristica_del_lugar_al_que_se_cambio_o_cambiaria,estrategias_uso_de_instrumentos_para_alertar_158,estrategias_uso_de_camaras_de_vigilancia,estrategias_carteles_inscripciones_en_la_pared,estrategias_munecos_colgados,estrategias_vigilancia_policial,estrategias_guardias_privados,estrategias_vigilancia_comunitaria_o_barrial,estrategias_cercar_el_barrio,estrategias_uso_de_instrumentos_para_alertar_166,estar_de_acuerdo_con_el_linchamiento,estar_de_acuerdo_con_la_pena_de_muerte,estar_de_acuerdo_con_la_castracion,estar_de_acuerdo_con_bloquear_caminos,estar_de_acuerdo_con_manifestaciones,estar_de_acuerdo_con_prohibir_ingreso_de_personas_ex,sentimiento_respecto_al_barrio,espacio_en_el_barrio_que_mas_frecuentan_los_vecinos,relacionamiento_con_los_vecinos_por_la_inseguridad
1,Sa01,4,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Cedida por parentesco o Servicio,4.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Casado(a),Universitario,5,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Peluquero,“Cuenta propia”,Peluquero,Chichería,1,Jefe(a) de Hogar,Entrevistado,Hombre,52.0,Casado(a),Unversitario,5,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Peluquero,“Cuenta propia”,Peluquero,Chichería,2,Católica,Quechua,No,No,No,No,No,No,No,Inseguro,El Abra,Sacaba,No,NA,No,NA,No,NA,Si,Si,Agresión sexual,No,NA,No,NA,No,NA,No,NA,Seguro,Radio Taxi,Seguro,NA,NA,Violación,No,Si,Si,No sabe,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Rostro marcado ojos rojos,"Droga , ocio control de padres",Todas,Ninguna,Mas o menos,No sabe o no conoce,Mucha,Ninguna,"Algo, muy poco",No,Si,No,No,No,Si,Red Uno,No,NA,Si,Los Tiempos,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,Si,No,No,No se cambiaría,No,No,No,No,No,No,No,No,No,Cuando es necesario,Cuando es necesario,No,No,No,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
2,Sa01,6,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,4.0,1,Jefe(a) de Hogar,NA,Hombre,53.0,Casado(a),Primaria,6,Castellano,La Paz,Aroma,Patacamaya,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Empresa,“Empleado”,Construcción de cami,Ninguna,1,Hijo(a),Entrevistado,11.0,25.0,Soltero(a),Unversitario,4,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Sólo estudió,NA,NA,NA,Ninguna,2,Católica,Quechua,Ocasionalmente,Si,No,No,Si,No,No,Seguro,Ninguna,Sacaba,No,NA,No,NA,No,NA,No,No,Agresión física,No,NA,No,NA,No,NA,No,NA,Seguro,Trufi,Seguro,No,NA,NA,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,"Caras cortadas , tatuajes",Necesidad económica,Todas,Poco,Poco,Ninguna,Poco,Poco,No,No,Si,Si,No,Si,Si,Bolivisión,No,NA,No,NA,No,NA,Ninguno,"Ninguna de las anteriores, nada",NA,Si,No,No,No,Si,No,No,No se cambiaría,No,No,No,No,No,No,No,No,Si,Cuando es necesario,No,Si,No,No,No,Me siento identificado con mi barrio,"Plazas, plazuelas",Mayor relacionamiento
3,Sa01,8,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Cedida por parentesco o Servicio,2.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,25.0,11.0,Técnico superior,4,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Profesor,“Empleado”,Educación,Taxi,1,Jefe(a) de Hogar,Entrevistado,Hombre,25.0,11.0,Técnico Superior,4,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Profesor,“Empleado”,Educación,Taxi,1,Evangélica,Ninguno,No,Si,No,No,No,No,No,Inseguro,Villa obrajes,Sacaba,Si,Puente Villa Obrajes,No,NA,No,NA,No,No,Agresión física,Si,NA,No,NA,No,NA,Si,Cantinflas,Inseguro,Taxi,Seguro,No,Violación,Otro,No,No,Si,No sabe,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Jóvenes padilleros con cortaduras en la cara y tatuajes,Deficiencias en el hogar violencia familiar,Todas,Ninguna,Poco,Bastante,Bastante,No sabe o no conoce,Si,"Algo, muy poco",No,Si,Si,Si,Si,Red Uno,No,NA,Si,Los Tiempos,Si,Youtube,Ninguno,Contratar seguros (de vida),"Evitar calles vacías, lotes baldíos",Si,Si,Si,No,Si,No,No,Barrio o urbanización cerrada,No,No,No,No,No,No,No,No,No,Cuando es necesario,Si,Si,Si,Si,No,No tengo ninguna relación con los vecinos,Otros,No sabe
4,Sa01,9,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,3.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,56.0,Casado(a),Primaria,6,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,No trabajó,NA,NA,NA,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,56.0,Casado(a),Primaria,6,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,No trabajó,NA,NA,NA,Ninguna,1,Católica,Quechua,Ocasionalmente,Si,No,No,No,No,No,Inseguro,Cementerio,Sacaba,No,NA,No,NA,No,NA,No,No,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Seguro,Trufi,Seguro,Si,Robo,NA,No sabe,No sabe,No sabe,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Caras cortadas y vestidos raros,bebidas alcohólicas,Todas,Ninguna,Poco,Poco,Mas o menos,Ninguna,No,Si,Si,Si,Si,No,Si,Red Uno,No,NA,No,NA,No,NA,Ninguno,NA,NA,No,No,No,No,Si,No,No,No se cambiaría,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,Si,Muy pocas personas saben quién soy,Otros,Nunca tuve relación con los vecinos
5,Sa01,10,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,2.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,77.0,Casado(a),Primaria,5,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,No trabajó,NA,NA,NA,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,77.0,Casado(a),Primaria,5,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,No trabajó,NA,NA,NA,Ninguna,0,Ninguna,Quechua,Ocasionalmente,Si,No,No,No,No,No,Seguro,No sabe,Sacaba,No,NA,No,NA,No,NA,No,No,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Seguro,Micro,Seguro,No,NA,NA,No sabe,No sabe,Si,NA,No sabe,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Adultos mayores,No sale de la casa,Abusivos,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Poco,Poco,Poco,Poco,No,No,No,No,No,No,Si,ATB,Si,PIO XII,No,NA,No,NA,Ninguno,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,No,No,No,No se cambiaría,No,No,No,No,No,No,No,No,No,No,Cuando es necesario,No,No,No,Si,Me siento identificado con mi barrio,Otros,Mayor aislamiento con los vecinos
6,Sa01,16,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Alquilada,3.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,58.0,Viudo(a),Sin instrucción,0,Quechua,Potosí,Charcas,S.P. De Buena Vista,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Labores de casa y trabajó,Vendedora,“Cuenta propia”,Comida,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,58.0,Viudo(a),Sin instrucción,0,Quechua,Potosí,Charcas,S.P. De Buena Vista,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Labores de casa y trabajó,Vendedora,“Cuenta propia”,Comida,Ninguna,1,Ninguna,Quechua,Ocasionalmente,No,Si,No,No,No,No,Seguro,Huatllani,Sacaba,No,NA,No,NA,No,NA,No,No,Robo o asalto,No,NA,No,NA,No,NA,No,NA,Seguro,Taxi,Seguro,No,NA,NA,No sabe,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Niños y  Adolescentes,"Kálluras, flacos con cabellos largos",Toman mucho no comen,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Mas o menos,Mas o menos,Bastante,Poco,No,No,No,No,No,No,Si,Red Uno,No,NA,No,NA,No,NA,Ninguno,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,No,No,No,No,No,No,No,No se cambiaría,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,Si,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
7,Sa01,22,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Departamento,Alquilada,5.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,48.0,Casado(a),Secundaria,6,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Peluquqería,“Cuenta propia”,Peluquería,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,48.0,Casado(a),Secundaria,6,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Peluquqería,“Cuenta propia”,Peluquería,Ninguna,1,Católica,Ninguno,Ocasionalmente,No,Si,No,No,No,No,Depende de la zona,NA,NA,Si,Entrada Ansclapol,No,NA,No,NA,Si,No,Agresión sexual,No,NA,No,NA,No,NA,No,NA,Seguro,Taxi,Seguro,NA,Peleas callejeras,NA,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,Quienes sienten el mal,Flojera les domina,Todas,Mas o menos,Mas o menos,Mas o menos,Bastante,Mucha,No,No,No,No,No,No,Si,Red Uno,No,NA,No,NA,No,NA,Medios televisivos,No salir a altas horas de la noche y/o no salir solo,NA,No,No,No,No,No,No,No,Otro,Si,Si,No,No,No,No,No,No,Si,No,No,Si,Si,Si,Si,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
8,Sa01,24,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,5.0,1,Jefe(a) de Hogar,Entrevistado,Hombre,48.0,Casado(a),Técnico superior,3,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Comercio,“Cuenta propia”,Libreria,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Hombre,48.0,Casado(a),Técnico Superior,3,Quechua,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Comercio,“Cuenta propia”,Libreria,Ninguna,2,Católica,Ninguno,No,Si,No,No,No,No,No,Inseguro,Cementerio,Sacaba,Si,Calle independencia,No,NA,No,NA,No,No,Agresión Psicológica,No,NA,No,NA,Si,del barrio,No,NA,Seguro,Taxi,Inseguro,Si,Asalto,NA,No,No,Si,No sabe,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hijo(a),Robo o asalto,Armas blancas,Esquina del mercado,Sacaba,Acudir a alguna institución o  centro de salud,Niños y  Adolescentes,"Cabellos largos, pantalones anchos andan en tropa",Abandono familiar y falta de control de los padres,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Mas o menos,Poco,Poco,Mas o menos,Mas o menos,No,No,Si,Si,Si,Si,Si,UNITEL,No,NA,No,NA,No,NA,Ninguno,No salir a altas horas de la noche y/o no salir solo,No tomar taxi en la calle,Si,No,No,No,Si,No,No,No se cambiaría,No,No,No,No,No,No,No,No,Si,No,Si,Si,No,No,No,Me siento identificado con mi barrio,Canchas deportivas,Mayor relacionamiento
9,Sa01,25,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,5.0,1,Jefe(a) de Hogar,Entrevistado,Mujer,37.0,Conviviente,Universitario,5,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,Ninguna,1,Jefe(a) de Hogar,Entrevistado,Mujer,37.0,Conviviente,Unversitario,5,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Sólo labores de casa,NA,NA,NA,Ninguna,1,Ninguna,Ninguno,Ocasionalmente,Si,No,No,No,No,No,Inseguro,Villa Obrajes,Sacaba,No,NA,No,NA,No,NA,No,No,Agresión física,No,NA,No,NA,Si,de la Tranca,No,NA,Seguro,Taxi,Seguro,Si,Violación,NA,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Si,Hermano(a),Robo o asalto,Otros,Final circunvalación calle Beni,Sacaba,Acudir a alguna institución o  centro de salud,Niños y  Adolescentes,Cleferos,Por necesidad,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Mas o menos,Mas o menos,Poco,Mucha,Ninguna,Si,Si,Si,Si,Si,No,Si,ATB,No,NA,No,NA,No,NA,Medios televisivos,"Evitar calles vacías, lotes baldíos",No tomar taxi en la calle,Si,No,No,No,No,No,No,Condominio cerrado,No,No,No,No,Si,No,No,No,Si,No,Si,Si,No,No,Cuando es necesario,Me siento identificado con mi barrio,"Plazas, plazuelas",Mayor aislamiento con los vecinos
10,Sa01,27,Sacaba,1,Zona central,Simón Bolivar,Vivienda independiente,Casa independiente,Propia,4.0,1,Jefe(a) de Hogar,NA,Hombre,52.0,Viudo(a),Secundaria,2,Castellano,Cochabamba,Chapare,Sacaba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,Tenía trabajo,Funcionario Público,“Empleado”,Funcionario público,Ninguna,2,Hijo(a),Entrevistado,Hombre,26.0,Soltero(a),Unversitario,5,Castellano,Cochabamba,Cercado,Cochabamba,NA,NA,NA,Cochabamba,Chapare,Sacaba,NA,NA,NA,NA,No trabajó,NA,NA,NA,Ninguna,1,Ninguna,Quechua,Ocasionalmente,Si,No,No,Si,No,Si,Depende de la zona,Huayrakasa,Sacaba,Si,Calle tantra,No,NA,No,NA,No,No,Robo o asalto,No,NA,Si,Todas,Si,Canditejas,Si,Plazuela del estudiante,Seguro,Taxi,Seguro,No,NA,NA,No,No,No,NA,Si,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Todos,"Artes, tatuajes, mal vestidos",Vicio,"1.	Policía,  Módulo  Policial, FELCC, FELCV, EPI, Radio Patrulla",Poco,Mas o menos,Poco,Mas o menos,Poco,No,No,Si,Si,Si,Si,Si,Red Uno,No,NA,No,NA,No,NA,Medios televisivos,"Evitar calles vacías, lotes baldíos",No tomar taxi en la calle,Si,No,No,No,Si,No,No,No se cambiaría,No,No,No,No,No,No,No,No,Si,No,Si,Si,No,No,No,Me siento identificado con mi barrio,Otros,Mayor relacionamiento
